SSC_NAME16	LabourForceStatus	persons
Adaminaby	Not in the labour force	103
Adaminaby	Unemployed (looking for work)	6
Adamstown	Employed (away from work)	175
Adamstown	Employed (full-time)	1862
Adamstown	Employed (part-time)	1075
Adamstown	Not in the labour force	1426
Adamstown	Unemployed (looking for work)	218
Adamstown Heights	Employed (away from work)	108
Adamstown Heights	Employed (full-time)	1496
Adamstown Heights	Employed (part-time)	910
Adamstown Heights	Not in the labour force	1442
Adamstown Heights	Unemployed (looking for work)	139
Adelong	Employed (away from work)	26
Adelong	Employed (full-time)	224
Adelong	Employed (part-time)	122
Adelong	Not in the labour force	314
Adelong	Unemployed (looking for work)	30
Adjungbilly	Employed (full-time)	29
Adjungbilly	Employed (part-time)	13
Adjungbilly	Not in the labour force	11
Adjungbilly	Unemployed (looking for work)	4
Afterlee	Employed (full-time)	14
Afterlee	Employed (part-time)	9
Afterlee	Not in the labour force	20
Agnes Banks	Employed (away from work)	18
Agnes Banks	Employed (full-time)	303
Agnes Banks	Employed (part-time)	136
Agnes Banks	Not in the labour force	185
Agnes Banks	Unemployed (looking for work)	17
Airds	Employed (away from work)	66
Airds	Employed (full-time)	272
Airds	Employed (part-time)	185
Airds	Not in the labour force	1205
Airds	Unemployed (looking for work)	181
Akolele	Employed (full-time)	13
Akolele	Employed (part-time)	11
Akolele	Not in the labour force	69
Albert	Employed (full-time)	29
Albert	Employed (part-time)	11
Albert	Not in the labour force	12
Albion Park	Employed (away from work)	331
Albion Park	Employed (full-time)	3875
Albion Park	Employed (part-time)	2145
Albion Park	Not in the labour force	3244
Albion Park	Unemployed (looking for work)	386
Albion Park Rail	Employed (away from work)	148
Albion Park Rail	Employed (full-time)	1725
Albion Park Rail	Employed (part-time)	1032
Albion Park Rail	Not in the labour force	2049
Albion Park Rail	Unemployed (looking for work)	228
Albury	Employed (away from work)	116
Albury	Employed (full-time)	1353
Albury	Employed (part-time)	822
Albury	Not in the labour force	1237
Albury	Unemployed (looking for work)	137
Aldavilla	Employed (away from work)	28
Aldavilla	Employed (full-time)	160
Aldavilla	Employed (part-time)	122
Aldavilla	Not in the labour force	774
Aldavilla	Unemployed (looking for work)	16
Alectown	Employed (away from work)	6
Alectown	Employed (full-time)	49
Alectown	Employed (part-time)	21
Alectown	Not in the labour force	47
Alectown	Unemployed (looking for work)	3
Alexandria	Employed (away from work)	248
Alexandria	Employed (full-time)	4434
Alexandria	Employed (part-time)	993
Alexandria	Not in the labour force	916
Alexandria	Unemployed (looking for work)	204
Alfords Point	Employed (away from work)	74
Alfords Point	Employed (full-time)	1158
Alfords Point	Employed (part-time)	565
Alfords Point	Not in the labour force	660
Alfords Point	Unemployed (looking for work)	70
Alfredtown	Employed (full-time)	41
Alfredtown	Employed (part-time)	24
Alfredtown	Not in the labour force	5
Alice	Not in the labour force	10
Alison (Central Coast - NSW)	Employed (away from work)	3
Alison (Central Coast - NSW)	Employed (full-time)	24
Alison (Central Coast - NSW)	Employed (part-time)	9
Alison (Central Coast - NSW)	Not in the labour force	23
Alison (Central Coast - NSW)	Unemployed (looking for work)	3
Alison (Dungog - NSW)	Employed (full-time)	17
Alison (Dungog - NSW)	Employed (part-time)	8
Alison (Dungog - NSW)	Not in the labour force	26
Allambie Heights	Employed (away from work)	160
Allambie Heights	Employed (full-time)	1983
Allambie Heights	Employed (part-time)	1241
Allambie Heights	Not in the labour force	1723
Allambie Heights	Unemployed (looking for work)	111
Allandale (NSW)	Employed (full-time)	24
Allandale (NSW)	Employed (part-time)	17
Allandale (NSW)	Not in the labour force	9
Allandale (NSW)	Unemployed (looking for work)	3
Allawah	Employed (away from work)	143
Allawah	Employed (full-time)	1818
Allawah	Employed (part-time)	974
Allawah	Not in the labour force	1478
Allawah	Unemployed (looking for work)	247
Alleena	Employed (away from work)	3
Alleena	Employed (full-time)	13
Alleena	Employed (part-time)	9
Alleena	Not in the labour force	9
Allgomera	Employed (away from work)	4
Allgomera	Employed (full-time)	20
Allgomera	Employed (part-time)	20
Allgomera	Not in the labour force	45
Allgomera	Unemployed (looking for work)	4
Allworth	Employed (away from work)	3
Allworth	Employed (full-time)	55
Allworth	Employed (part-time)	11
Allworth	Not in the labour force	44
Allworth	Unemployed (looking for work)	5
Allynbrook	Employed (full-time)	21
Allynbrook	Employed (part-time)	9
Allynbrook	Not in the labour force	16
Alma Park	Employed (full-time)	17
Alma Park	Employed (part-time)	9
Alma Park	Not in the labour force	6
Alpine	Employed (full-time)	36
Alpine	Employed (part-time)	27
Alpine	Not in the labour force	32
Alstonvale	Employed (away from work)	12
Alstonvale	Employed (full-time)	117
Alstonvale	Employed (part-time)	90
Alstonvale	Not in the labour force	116
Alstonvale	Unemployed (looking for work)	12
Alstonville	Employed (away from work)	119
Alstonville	Employed (full-time)	1193
Alstonville	Employed (part-time)	909
Alstonville	Not in the labour force	2151
Alstonville	Unemployed (looking for work)	140
Alumy Creek	Employed (full-time)	23
Alumy Creek	Employed (part-time)	12
Alumy Creek	Not in the labour force	28
Amaroo (NSW)	Employed (full-time)	18
Amaroo (NSW)	Employed (part-time)	5
Amaroo (NSW)	Not in the labour force	7
Ambarvale	Employed (away from work)	156
Ambarvale	Employed (full-time)	1913
Ambarvale	Employed (part-time)	854
Ambarvale	Not in the labour force	2036
Ambarvale	Unemployed (looking for work)	313
Amosfield	Employed (full-time)	9
Amosfield	Employed (part-time)	4
Amosfield	Not in the labour force	10
Anabranch North	Not in the labour force	3
Anabranch South	Employed (full-time)	16
Anabranch South	Not in the labour force	3
Anambah	Employed (full-time)	6
Anambah	Employed (part-time)	4
Anambah	Not in the labour force	4
Anambah	Unemployed (looking for work)	3
Ando	Employed (away from work)	3
Ando	Employed (full-time)	26
Ando	Employed (part-time)	7
Ando	Not in the labour force	22
Anembo	Employed (away from work)	4
Anembo	Employed (full-time)	15
Anembo	Employed (part-time)	6
Anembo	Not in the labour force	9
Anembo	Unemployed (looking for work)	3
Angledale	Employed (away from work)	3
Angledale	Employed (full-time)	55
Angledale	Employed (part-time)	20
Angledale	Not in the labour force	40
Angledool	Employed (away from work)	3
Angledool	Employed (full-time)	9
Angledool	Employed (part-time)	6
Angledool	Not in the labour force	22
Anglers Reach	Employed (full-time)	20
Anglers Reach	Employed (part-time)	3
Anglers Reach	Not in the labour force	42
Angourie	Employed (away from work)	9
Angourie	Employed (full-time)	46
Angourie	Employed (part-time)	49
Angourie	Not in the labour force	66
Angourie	Unemployed (looking for work)	5
Anna Bay	Employed (away from work)	88
Anna Bay	Employed (full-time)	848
Anna Bay	Employed (part-time)	591
Anna Bay	Not in the labour force	1260
Anna Bay	Unemployed (looking for work)	118
Annandale (NSW)	Employed (away from work)	238
Annandale (NSW)	Employed (full-time)	3676
Annandale (NSW)	Employed (part-time)	1451
Annandale (NSW)	Not in the labour force	1675
Annandale (NSW)	Unemployed (looking for work)	240
Annangrove	Employed (away from work)	38
Annangrove	Employed (full-time)	475
Annangrove	Employed (part-time)	264
Annangrove	Not in the labour force	319
Annangrove	Unemployed (looking for work)	14
Appin (NSW)	Employed (away from work)	63
Appin (NSW)	Employed (full-time)	936
Appin (NSW)	Employed (part-time)	351
Appin (NSW)	Not in the labour force	458
Appin (NSW)	Unemployed (looking for work)	48
Apple Tree Flat	Employed (full-time)	6
Apple Tree Flat	Employed (part-time)	7
Apple Tree Flat	Not in the labour force	10
Appleby	Employed (away from work)	3
Appleby	Employed (full-time)	15
Appleby	Employed (part-time)	9
Appleby	Not in the labour force	3
Appletree Flat	Employed (full-time)	4
Appletree Flat	Employed (part-time)	3
Appletree Flat	Not in the labour force	3
Apsley (NSW)	Employed (away from work)	5
Apsley (NSW)	Employed (full-time)	29
Apsley (NSW)	Employed (part-time)	11
Apsley (NSW)	Not in the labour force	32
Arable	Employed (full-time)	4
Arable	Employed (part-time)	3
Arakoon	Employed (away from work)	13
Arakoon	Employed (full-time)	86
Arakoon	Employed (part-time)	65
Arakoon	Not in the labour force	181
Arakoon	Unemployed (looking for work)	14
Araluen (NSW)	Employed (away from work)	9
Araluen (NSW)	Employed (full-time)	33
Araluen (NSW)	Employed (part-time)	19
Araluen (NSW)	Not in the labour force	60
Araluen (NSW)	Unemployed (looking for work)	3
Aratula (NSW)	Employed (full-time)	3
Arcadia (NSW)	Employed (away from work)	22
Arcadia (NSW)	Employed (full-time)	434
Arcadia (NSW)	Employed (part-time)	267
Arcadia (NSW)	Not in the labour force	319
Arcadia (NSW)	Unemployed (looking for work)	25
Arcadia Vale	Employed (away from work)	31
Arcadia Vale	Employed (full-time)	363
Arcadia Vale	Employed (part-time)	220
Arcadia Vale	Not in the labour force	403
Arcadia Vale	Unemployed (looking for work)	48
Ardglen	Employed (full-time)	13
Ardglen	Employed (part-time)	4
Ardglen	Not in the labour force	13
Ardglen	Unemployed (looking for work)	7
Arding	Employed (away from work)	6
Arding	Employed (full-time)	45
Arding	Employed (part-time)	36
Arding	Not in the labour force	77
Arding	Unemployed (looking for work)	4
Ardlethan	Employed (away from work)	9
Ardlethan	Employed (full-time)	94
Ardlethan	Employed (part-time)	60
Ardlethan	Not in the labour force	206
Ardlethan	Unemployed (looking for work)	15
Argalong	Employed (full-time)	6
Argalong	Employed (part-time)	10
Argalong	Not in the labour force	7
Argenton	Employed (away from work)	26
Argenton	Employed (full-time)	288
Argenton	Employed (part-time)	177
Argenton	Not in the labour force	489
Argenton	Unemployed (looking for work)	68
Argents Hill	Employed (away from work)	6
Argents Hill	Employed (full-time)	43
Argents Hill	Employed (part-time)	34
Argents Hill	Not in the labour force	89
Argents Hill	Unemployed (looking for work)	3
Argoon (NSW)	Employed (full-time)	8
Argoon (NSW)	Employed (part-time)	3
Ariah Park	Employed (away from work)	17
Ariah Park	Employed (full-time)	117
Ariah Park	Employed (part-time)	60
Ariah Park	Not in the labour force	157
Ariah Park	Unemployed (looking for work)	4
Arkell	Employed (full-time)	15
Arkell	Employed (part-time)	11
Arkell	Not in the labour force	5
Arkstone	Employed (full-time)	6
Arkstone	Not in the labour force	7
Armatree	Employed (away from work)	4
Armatree	Employed (full-time)	53
Armatree	Employed (part-time)	11
Armatree	Not in the labour force	23
Armatree	Unemployed (looking for work)	8
Armidale	Employed (away from work)	597
Armidale	Employed (full-time)	5483
Armidale	Employed (part-time)	3564
Armidale	Not in the labour force	7205
Armidale	Unemployed (looking for work)	876
Arncliffe	Employed (away from work)	269
Arncliffe	Employed (full-time)	3197
Arncliffe	Employed (part-time)	1546
Arncliffe	Not in the labour force	2992
Arncliffe	Unemployed (looking for work)	335
Arndell Park	Employed (full-time)	11
Arndell Park	Employed (part-time)	4
Arrawarra	Employed (away from work)	6
Arrawarra	Employed (full-time)	38
Arrawarra	Employed (part-time)	44
Arrawarra	Not in the labour force	332
Arrawarra	Unemployed (looking for work)	9
Arrawarra Headland	Employed (away from work)	20
Arrawarra Headland	Employed (full-time)	114
Arrawarra Headland	Employed (part-time)	104
Arrawarra Headland	Not in the labour force	178
Arrawarra Headland	Unemployed (looking for work)	19
Artarmon	Employed (away from work)	209
Artarmon	Employed (full-time)	3526
Artarmon	Employed (part-time)	1319
Artarmon	Not in the labour force	1943
Artarmon	Unemployed (looking for work)	277
Arthurville	Employed (full-time)	16
Arthurville	Employed (part-time)	3
Arthurville	Not in the labour force	9
Arumpo	Employed (full-time)	14
Arumpo	Employed (part-time)	11
Arumpo	Not in the labour force	3
Ashbury	Employed (away from work)	60
Ashbury	Employed (full-time)	1042
Ashbury	Employed (part-time)	546
Ashbury	Not in the labour force	856
Ashbury	Unemployed (looking for work)	60
Ashby (NSW)	Employed (away from work)	7
Ashby (NSW)	Employed (full-time)	58
Ashby (NSW)	Employed (part-time)	47
Ashby (NSW)	Not in the labour force	151
Ashby (NSW)	Unemployed (looking for work)	9
Ashby Heights	Employed (away from work)	5
Ashby Heights	Employed (full-time)	35
Ashby Heights	Employed (part-time)	32
Ashby Heights	Not in the labour force	88
Ashby Heights	Unemployed (looking for work)	17
Ashby Island	Employed (full-time)	5
Ashby Island	Employed (part-time)	3
Ashby Island	Not in the labour force	3
Ashcroft	Employed (away from work)	64
Ashcroft	Employed (full-time)	542
Ashcroft	Employed (part-time)	290
Ashcroft	Not in the labour force	1318
Ashcroft	Unemployed (looking for work)	141
Ashfield (NSW)	Employed (away from work)	531
Ashfield (NSW)	Employed (full-time)	7688
Ashfield (NSW)	Employed (part-time)	4005
Ashfield (NSW)	Not in the labour force	6341
Ashfield (NSW)	Unemployed (looking for work)	926
Ashford (NSW)	Employed (away from work)	13
Ashford (NSW)	Employed (full-time)	107
Ashford (NSW)	Employed (part-time)	85
Ashford (NSW)	Not in the labour force	276
Ashford (NSW)	Unemployed (looking for work)	20
Ashley	Employed (away from work)	10
Ashley	Employed (full-time)	123
Ashley	Employed (part-time)	41
Ashley	Not in the labour force	63
Ashley	Unemployed (looking for work)	3
Ashmont	Employed (away from work)	70
Ashmont	Employed (full-time)	778
Ashmont	Employed (part-time)	449
Ashmont	Not in the labour force	1217
Ashmont	Unemployed (looking for work)	190
Ashtonfield	Employed (away from work)	104
Ashtonfield	Employed (full-time)	1418
Ashtonfield	Employed (part-time)	752
Ashtonfield	Not in the labour force	953
Ashtonfield	Unemployed (looking for work)	127
Asquith	Employed (away from work)	75
Asquith	Employed (full-time)	1028
Asquith	Employed (part-time)	569
Asquith	Not in the labour force	812
Asquith	Unemployed (looking for work)	86
Atholwood	Employed (full-time)	24
Atholwood	Employed (part-time)	12
Atholwood	Not in the labour force	32
Attunga	Employed (away from work)	20
Attunga	Employed (full-time)	177
Attunga	Employed (part-time)	81
Attunga	Not in the labour force	133
Attunga	Unemployed (looking for work)	11
Auburn (NSW)	Employed (away from work)	887
Auburn (NSW)	Employed (full-time)	7911
Auburn (NSW)	Employed (part-time)	5273
Auburn (NSW)	Not in the labour force	12020
Auburn (NSW)	Unemployed (looking for work)	2038
Auburn Vale	Employed (away from work)	8
Auburn Vale	Employed (full-time)	43
Auburn Vale	Employed (part-time)	14
Auburn Vale	Not in the labour force	28
Austinmer	Employed (away from work)	60
Austinmer	Employed (full-time)	723
Austinmer	Employed (part-time)	460
Austinmer	Not in the labour force	613
Austinmer	Unemployed (looking for work)	66
Austral	Employed (away from work)	83
Austral	Employed (full-time)	769
Austral	Employed (part-time)	355
Austral	Not in the labour force	975
Austral	Unemployed (looking for work)	57
Austral Eden	Employed (away from work)	11
Austral Eden	Employed (full-time)	40
Austral Eden	Employed (part-time)	23
Austral Eden	Not in the labour force	27
Avalon Beach	Employed (away from work)	228
Avalon Beach	Employed (full-time)	2774
Avalon Beach	Employed (part-time)	1972
Avalon Beach	Not in the labour force	2448
Avalon Beach	Unemployed (looking for work)	182
Avisford	Employed (full-time)	10
Avisford	Employed (part-time)	3
Avisford	Not in the labour force	3
Avoca (NSW)	Employed (away from work)	8
Avoca (NSW)	Employed (full-time)	61
Avoca (NSW)	Employed (part-time)	34
Avoca (NSW)	Not in the labour force	51
Avoca (NSW)	Unemployed (looking for work)	3
Avoca Beach	Employed (away from work)	101
Avoca Beach	Employed (full-time)	1299
Avoca Beach	Employed (part-time)	859
Avoca Beach	Not in the labour force	1045
Avoca Beach	Unemployed (looking for work)	117
Avondale (NSW)	Employed (away from work)	43
Avondale (NSW)	Employed (full-time)	438
Avondale (NSW)	Employed (part-time)	260
Avondale (NSW)	Not in the labour force	466
Avondale (NSW)	Unemployed (looking for work)	61
Avonside	Employed (away from work)	4
Avonside	Employed (full-time)	34
Avonside	Employed (part-time)	14
Avonside	Not in the labour force	23
Avonside	Unemployed (looking for work)	3
Awaba	Employed (away from work)	7
Awaba	Employed (full-time)	117
Awaba	Employed (part-time)	54
Awaba	Not in the labour force	113
Awaba	Unemployed (looking for work)	12
Aylmerton	Employed (away from work)	5
Aylmerton	Employed (full-time)	69
Aylmerton	Employed (part-time)	34
Aylmerton	Not in the labour force	51
Aylmerton	Unemployed (looking for work)	9
Baan Baa	Employed (full-time)	53
Baan Baa	Employed (part-time)	18
Baan Baa	Not in the labour force	35
Baan Baa	Unemployed (looking for work)	6
Babinda (NSW)	Employed (full-time)	3
Babyl Creek	Employed (full-time)	7
Back Creek (Bland - NSW)	Employed (away from work)	3
Back Creek (Bland - NSW)	Employed (full-time)	9
Back Creek (Bland - NSW)	Employed (part-time)	9
Back Creek (Bland - NSW)	Not in the labour force	3
Back Creek (Gwydir - NSW)	Employed (full-time)	7
Back Creek (Mid-Coast - NSW)	Employed (full-time)	7
Back Creek (Mid-Coast - NSW)	Employed (part-time)	3
Back Creek (Mid-Coast - NSW)	Not in the labour force	6
Back Creek (Queanbeyan-Palerang Regional - NSW)	Not in the labour force	5
Back Creek (Tenterfield - NSW)	Employed (full-time)	4
Back Creek (Tenterfield - NSW)	Not in the labour force	4
Back Creek (Tweed - NSW)	Employed (away from work)	3
Back Creek (Tweed - NSW)	Employed (full-time)	6
Back Creek (Tweed - NSW)	Employed (part-time)	3
Back Forest	Employed (away from work)	4
Back Forest	Employed (full-time)	17
Back Forest	Employed (part-time)	22
Back Forest	Not in the labour force	15
Backmede	Employed (away from work)	5
Backmede	Employed (full-time)	35
Backmede	Employed (part-time)	28
Backmede	Not in the labour force	48
Backwater	Employed (full-time)	5
Backwater	Not in the labour force	3
Badgerys Creek	Employed (full-time)	53
Badgerys Creek	Employed (part-time)	27
Badgerys Creek	Not in the labour force	76
Badgerys Creek	Unemployed (looking for work)	4
Badja	Not in the labour force	6
Baerami	Employed (full-time)	18
Baerami	Employed (part-time)	7
Baerami	Not in the labour force	14
Baerami Creek	Employed (full-time)	12
Baerami Creek	Employed (part-time)	8
Baerami Creek	Not in the labour force	5
Bagnoo	Employed (full-time)	7
Bagnoo	Employed (part-time)	8
Bagnoo	Not in the labour force	13
Bago	Employed (full-time)	3
Bago	Employed (part-time)	5
Bago	Not in the labour force	10
Bagotville	Employed (full-time)	9
Bagotville	Employed (part-time)	16
Bagotville	Not in the labour force	13
Bakers Creek (Mid-Coast - NSW)	Employed (full-time)	11
Bakers Creek (Mid-Coast - NSW)	Not in the labour force	17
Bakers Creek (Nambucca - NSW)	Employed (full-time)	4
Bakers Creek (Nambucca - NSW)	Not in the labour force	5
Bakers Creek (Uralla - NSW)	Employed (full-time)	13
Bakers Creek (Uralla - NSW)	Not in the labour force	5
Bakers Swamp	Employed (full-time)	18
Bakers Swamp	Employed (part-time)	4
Bakers Swamp	Not in the labour force	8
Bakers Swamp	Unemployed (looking for work)	3
Balaclava (NSW)	Employed (away from work)	14
Balaclava (NSW)	Employed (full-time)	133
Balaclava (NSW)	Employed (part-time)	90
Balaclava (NSW)	Not in the labour force	116
Balaclava (NSW)	Unemployed (looking for work)	4
Balala	Employed (away from work)	4
Balala	Employed (full-time)	27
Balala	Employed (part-time)	25
Balala	Not in the labour force	43
Balala	Unemployed (looking for work)	4
Balcolyn	Employed (away from work)	20
Balcolyn	Employed (full-time)	218
Balcolyn	Employed (part-time)	142
Balcolyn	Not in the labour force	334
Balcolyn	Unemployed (looking for work)	25
Bald Blair	Employed (full-time)	18
Bald Blair	Employed (part-time)	9
Bald Blair	Not in the labour force	9
Bald Hills (NSW)	Employed (away from work)	7
Bald Hills (NSW)	Employed (full-time)	51
Bald Hills (NSW)	Employed (part-time)	47
Bald Hills (NSW)	Not in the labour force	81
Bald Hills (NSW)	Unemployed (looking for work)	3
Bald Nob	Employed (full-time)	3
Bald Nob	Employed (part-time)	4
Baldersleigh	Employed (full-time)	25
Baldersleigh	Employed (part-time)	11
Baldersleigh	Not in the labour force	8
Baldersleigh	Unemployed (looking for work)	3
Baldry	Employed (away from work)	10
Baldry	Employed (full-time)	28
Baldry	Employed (part-time)	11
Baldry	Not in the labour force	16
Baldry	Unemployed (looking for work)	3
Balfours Peak	Employed (full-time)	10
Balfours Peak	Employed (part-time)	3
Balfours Peak	Not in the labour force	6
Balgowlah	Employed (away from work)	196
Balgowlah	Employed (full-time)	2666
Balgowlah	Employed (part-time)	1285
Balgowlah	Not in the labour force	1604
Balgowlah	Unemployed (looking for work)	138
Balgowlah Heights	Employed (away from work)	57
Balgowlah Heights	Employed (full-time)	892
Balgowlah Heights	Employed (part-time)	582
Balgowlah Heights	Not in the labour force	762
Balgowlah Heights	Unemployed (looking for work)	60
Balgownie	Employed (away from work)	148
Balgownie	Employed (full-time)	1446
Balgownie	Employed (part-time)	878
Balgownie	Not in the labour force	1764
Balgownie	Unemployed (looking for work)	110
Balickera	Employed (full-time)	4
Balickera	Employed (part-time)	3
Balickera	Not in the labour force	4
Balladoran	Employed (away from work)	3
Balladoran	Employed (full-time)	31
Balladoran	Employed (part-time)	29
Balladoran	Not in the labour force	22
Balladoran	Unemployed (looking for work)	5
Ballalaba	Employed (full-time)	9
Ballalaba	Not in the labour force	7
Balldale	Employed (away from work)	4
Balldale	Employed (full-time)	40
Balldale	Employed (part-time)	15
Balldale	Not in the labour force	48
Ballengarra	Employed (full-time)	21
Ballengarra	Employed (part-time)	19
Ballengarra	Not in the labour force	22
Ballengarra	Unemployed (looking for work)	7
Ballimore	Employed (away from work)	7
Ballimore	Employed (full-time)	57
Ballimore	Employed (part-time)	29
Ballimore	Not in the labour force	33
Ballimore	Unemployed (looking for work)	4
Ballina	Employed (away from work)	160
Ballina	Employed (full-time)	1515
Ballina	Employed (part-time)	1181
Ballina	Not in the labour force	3600
Ballina	Unemployed (looking for work)	225
Ballyroe	Employed (full-time)	5
Balmain	Employed (away from work)	249
Balmain	Employed (full-time)	3972
Balmain	Employed (part-time)	1417
Balmain	Not in the labour force	1984
Balmain	Unemployed (looking for work)	224
Balmain East	Employed (away from work)	35
Balmain East	Employed (full-time)	670
Balmain East	Employed (part-time)	288
Balmain East	Not in the labour force	426
Balmain East	Unemployed (looking for work)	47
Balmoral (Lake Macquarie - NSW)	Employed (away from work)	6
Balmoral (Lake Macquarie - NSW)	Employed (full-time)	234
Balmoral (Lake Macquarie - NSW)	Employed (part-time)	115
Balmoral (Lake Macquarie - NSW)	Not in the labour force	204
Balmoral (Lake Macquarie - NSW)	Unemployed (looking for work)	29
Balmoral (Wingecarribee - NSW)	Employed (away from work)	6
Balmoral (Wingecarribee - NSW)	Employed (full-time)	153
Balmoral (Wingecarribee - NSW)	Employed (part-time)	69
Balmoral (Wingecarribee - NSW)	Not in the labour force	102
Balmoral (Wingecarribee - NSW)	Unemployed (looking for work)	8
Balranald	Employed (away from work)	39
Balranald	Employed (full-time)	330
Balranald	Employed (part-time)	198
Balranald	Not in the labour force	379
Balranald	Unemployed (looking for work)	46
Bamarang	Employed (away from work)	3
Bamarang	Employed (full-time)	4
Bamarang	Employed (part-time)	9
Bamarang	Not in the labour force	8
Bandon Grove	Employed (full-time)	30
Bandon Grove	Employed (part-time)	23
Bandon Grove	Not in the labour force	28
Bandon Grove	Unemployed (looking for work)	3
Bangadang	Employed (part-time)	3
Bangadang	Not in the labour force	3
Bangalee (NSW)	Employed (away from work)	13
Bangalee (NSW)	Employed (full-time)	194
Bangalee (NSW)	Employed (part-time)	127
Bangalee (NSW)	Not in the labour force	198
Bangalee (NSW)	Unemployed (looking for work)	12
Bangalow	Employed (away from work)	62
Bangalow	Employed (full-time)	492
Bangalow	Employed (part-time)	418
Bangalow	Not in the labour force	441
Bangalow	Unemployed (looking for work)	31
Bangheet	Employed (full-time)	17
Bangheet	Employed (part-time)	4
Bangheet	Not in the labour force	3
Bango	Employed (away from work)	9
Bango	Employed (full-time)	45
Bango	Employed (part-time)	15
Bango	Not in the labour force	22
Bangor (NSW)	Employed (away from work)	121
Bangor (NSW)	Employed (full-time)	1865
Bangor (NSW)	Employed (part-time)	975
Bangor (NSW)	Not in the labour force	1376
Bangor (NSW)	Unemployed (looking for work)	104
Banksia	Employed (away from work)	81
Banksia	Employed (full-time)	1018
Banksia	Employed (part-time)	505
Banksia	Not in the labour force	901
Banksia	Unemployed (looking for work)	103
Banksmeadow	Employed (full-time)	9
Banksmeadow	Employed (part-time)	3
Bankstown	Employed (away from work)	684
Bankstown	Employed (full-time)	6988
Bankstown	Employed (part-time)	3810
Bankstown	Not in the labour force	10084
Bankstown	Unemployed (looking for work)	1394
Bannaby	Employed (full-time)	10
Bannaby	Employed (part-time)	5
Bannaby	Not in the labour force	15
Bannister (NSW)	Employed (full-time)	43
Bannister (NSW)	Employed (part-time)	25
Bannister (NSW)	Not in the labour force	15
Banoon	Employed (full-time)	11
Banoon	Not in the labour force	3
Banora Point	Employed (away from work)	307
Banora Point	Employed (full-time)	3394
Banora Point	Employed (part-time)	2568
Banora Point	Not in the labour force	6303
Banora Point	Unemployed (looking for work)	421
Banyabba	Employed (full-time)	5
Banyabba	Employed (part-time)	7
Banyabba	Not in the labour force	28
Bar Beach	Employed (away from work)	33
Bar Beach	Employed (full-time)	386
Bar Beach	Employed (part-time)	234
Bar Beach	Not in the labour force	309
Bar Beach	Unemployed (looking for work)	35
Bar Point	Employed (away from work)	8
Bar Point	Employed (full-time)	15
Bar Point	Employed (part-time)	8
Bar Point	Not in the labour force	26
Bar Point	Unemployed (looking for work)	3
Bara	Employed (full-time)	8
Bara	Employed (part-time)	3
Bara	Not in the labour force	7
Baradine	Employed (away from work)	18
Baradine	Employed (full-time)	147
Baradine	Employed (part-time)	71
Baradine	Not in the labour force	331
